Term,Definition
"Bank transfer: why not many small critical sections?","Money is briefly gone (non-atomic); breaks atomicity."
"Bank transfer: best solution to avoid deadlock","Global ordering of locks (e.g. by account number); the whole program must obey it to avoid cycles."
"What is a semaphore?","A counter for available slots; allows up to s threads in the CS (like a parking garage of capacity s)."
"Semaphore acquire / release","acquire(S) decrements the counter (blocks at 0); release(S) increments it."
"Semaphore vs lock","A lock allows 0 or 1 thread in the CS; a semaphore allows up to s threads."
"What is a barrier?","Threads wait until all have reached a common point; only then may all continue."
"Turnstile (barrier)","acquire then immediately release; threads release each other one by one."
"Requirements for a correct reusable barrier","Protect count++ with a mutex; count must return to 0 at the end (reusable); only one thread triggers the release/acquire; not all at once."
"Two-phase barrier idea","Two turnstiles (barrier1; barrier2): phase 1 waits for all to arrive; phase 2 waits for all to leave; prevents a fast thread from lapping."
"Producer/Consumer: wrap-around semantics","A linear array behaves circular: position mod length; index jumps from end back to start."
"Producer/Consumer: how to detect empty and full","Empty: in == out. Full: (in+1) % size == out — one slot is left unused so you need no counter variable."
"Producer/Consumer with semaphores","Two counting semaphores (nonEmpty; nonFull) plus one binary semaphore (manipulation) protecting buf/in/out."
"Producer/Consumer with a lock","One lock protects the buffer; two conditions: producers await notFull; consumers await notEmpty."
"Sleeping Barber idea","Avoid signalling when nobody waits; barber checks waiting room and sleeps; client enqueues or wakes barber; use counters m (clients) and n (barbers)."
"Sleeping Barber counters","m<=0: buffer full; -m clients waiting. n<=0: buffer empty; -n barbers waiting."
"What is a monitor?","A generalization of Java's intrinsic (synchronized) locks; a data structure with wait / notify / notifyAll."
"Monitor: entry set","Threads trying to acquire the lock; one succeeds and becomes owner."
"Monitor: wait set","Threads that released the lock and sleep; woken by notify; then compete in the entry set again."
"Monitor: deadlock condition","If all threads are in the waiting state; nobody can wake anyone."
"Monitor signalling: signal-and-continue (Java)","Signaller keeps running; it just moves the signalled thread from wait set to entry set."
"Monitor signalling: signal-and-wait","Signaller hands the lock to the signalled thread and goes to the entry queue."
"Monitor: Condition interface","On a manual Lock you create conditions (lock.newCondition()); still ONE lock but grouped wait sets; methods await() / signal() / signalAll()."
"Why while(condition) wait() and not if?","After being woken and re-acquiring the lock the condition may be false again (another thread changed state); you must re-check in a loop."
"Why notifyAll() and not notify()?","notify() wakes an arbitrary single thread; it may be the wrong kind (e.g. a producer instead of a consumer) leading to lost wakeups/deadlock."
"Reader/Writer lock invariants","0 <= writers <= 1; 0 <= readers; writers * readers == 0 (never both)."
"Reader/Writer fairness problem","A basic RW lock is unfair: if readers are much faster; writers may starve. Make fair with wait/notify and waiting-counters."
"Coarse-grained locking","One lock for the whole structure (e.g. synchronized add/remove/contains). Simple but low concurrency."
"Fine-grained locking","Each list element has its own lock; more concurrency but more lock/unlock overhead."
"Hand-over-hand locking","Traverse holding two locks at a time; acquire the next before releasing the previous so no thread can overtake; lock both nodes you modify."
"Optimistic synchronization","Traverse without locks; then lock only the needed nodes; then validate that nothing changed in between; retry if not."
"Optimistic/lazy validate()","Rescan from head to check pred is still reachable AND pred.next == curr (connection still intact)."
"Lazy synchronization","Like optimistic but add a 'deleted' mark flag; logically delete by marking; physically unlink later; validate by checking marks + next pointer instead of rescanning."
"Lazy contains()","Traverse while key < target; return true iff current key == target AND node is not marked (lock-free)."
"Lock-free","Always deadlock-free; failure of one thread cannot block another; but starvation is still possible."
"Wait-free","Freedom from starvation; every thread finishes in finite steps. Wait-freedom implies lock-freedom."
"CAS (Compare-and-Swap)","If memory == old; set memory = new and return true (change made); else return false. Used for lock-free writes."
"Lock-free programming pattern","Read the shared variable into a local; prepare the change; use CAS to commit — if someone interleaved; retry the loop."
"ABA problem","CAS assumes no write happened between read and swap; but another thread may change A->B->A; value looks equal though state changed."
"ABA remedies","Pointer tagging (use extra bits as a counter); hazard pointers."
"Lock-free linked list deletion needs what?","Atomic mark + unlink; AtomicMarkableReference (pointer + mark bit): getReference(); attemptMark(); compareAndSet on [ref; mark]."
"Lock-free queue design","Two pointers (head; tail) plus a dummy sentinel node at the front to avoid null cases; enqueue/dequeue help advance tail (CAS)."
"Quiescent consistency","Non-overlapping operations take effect in order; for overlapping operations nothing is guaranteed (could even swap within a thread)."
"Sequential consistency","Threads may interleave; but each thread's own order is preserved; you may move operations left/right without swapping; writes appear instantly visible."
"Linearizability","Each operation takes effect at a single point between its invocation and return; if such points exist making everything correct; it is linearizable."
"Linearizability vs sequential consistency","Linearizable => sequentially consistent. In linearizability you cannot move operation lines; you only pick the effect point within each line."
"Consensus: three requirements","Valid (agreed value was proposed by someone); Consistent (all agree on the same value); Wait-free (returns in finite steps even if others halt)."
"Consensus numbers","Atomic read/write registers: 1. Test-and-Set: 2. Compare-and-Swap: n (any number)."
"Binary consensus","Equivalent to general consensus; you can build each from the other using the ternary/boolean-to-int trick."
"Consensus state: bivalent","Not yet decided; both outcomes (0 and 1) are still possible; the start state is bivalent."
"Consensus state: univalent","Outcome is already fixed; all reachable results agree."
"Consensus state: critical","Currently bivalent but every next move makes it univalent; a bivalent state with two univalent children."
"Critical-state lemma","Every consensus protocol has a critical state; because you can only move down (wait-free; no loops) you must eventually reach a univalent state."
"Why can't atomic registers give wait-free consensus?","From a critical state whatever A reads/writes; B cannot tell it apart from executing directly; B would have to output two different values — contradiction; so registers have consensus number 1."
"What is Transactional Memory (TM)?","You declare 'atomic' blocks and don't manage the how; execution runs concurrently but appears sequential (serialized)."
"TM: atomic vs mutual exclusion","TM is atomic but NOT mutex; several threads may start a transaction at the same time."
"TM on conflict","As soon as an inconsistency between the local and shared version is detected the transaction aborts (not merely fails to commit)."
"TM: strong vs weak isolation","Strong: safe even if a non-transactional thread accesses the variable. Weak: shared state may only be read/modified inside transactions."
"TM: flat vs closed nesting","Flat: one big transaction; inner failure aborts everything. Closed: inner transaction can abort and retry without aborting the outer."
"ScalaSTM properties","Weak isolation and closed nesting; uses Callable when a return value is needed instead of Runnable."
"STM.retry()","Instead of aborting; wait until something changes and retry; no busy spin-wait."
"STM implementation sketch","Global clock (incremented via CAS); each transaction records a birthdate; keeps a read set and write set; on access use local copy if present else fetch and check the external timestamp is older; abort if newer; on commit lock; re-check; write back with updated birthdate."
"Message passing idea","Avoid shared state: each thread has private state; they cooperate only by sending messages (distributed memory)."
"MPI communicator","A set of threads that can talk about a task; a thread can join several communicators; each has a rank (id) within each communicator."
"SPMD (Single Program Multiple Data)","All processes run the same program; branch on rank (e.g. rank 0 = master distributes work; else worker computes)."
"Synchronous vs asynchronous send","Synchronous: send then wait until the receiver actively receives. Asynchronous: send then continue immediately (needs a buffer)."
"Blocking vs non-blocking send","Blocking: returns when the buffer is reusable (transfer may not be done). Non-blocking: returns immediately."
"MPI: how to avoid send/recv deadlock","Order operations carefully (one side Send then Recv; other Recv then Send); use Sendrecv; or use non-blocking Isend/Irecv + Waitall."
